x,y
0.0376,0.0452
0.037,0.0461
0.0363,0.0469
0.0354,0.0475
0.0344,0.0479
0.0334,0.048
0.0324,0.0479
0.0314,0.0475
0.0306,0.0468
0.0302,0.0458
0.0301,0.0448
0.0301,0.0438
0.0301,0.0428
0.0302,0.0418
0.0304,0.0408
0.0305,0.0398
0.0308,0.0388
0.0311,0.0378
0.0315,0.0368
0.032,0.0358
0.0326,0.0349
0.0333,0.0341
0.0342,0.0334
0.0352,0.0331
0.0362,0.0329
0.0372,0.0331
0.0382,0.0336
0.0389,0.0344
0.0393,0.0354
0.0394,0.0364
0.0395,0.0374
0.0394,0.0384
0.0393,0.0394
0.0391,0.0404
0.039,0.0414
0.0387,0.0424
0.0384,0.0434
0.038,0.0444
