x,y
0.0421,0.0263
0.0424,0.0258
0.0426,0.0253
0.0429,0.0249
0.0433,0.0245
0.0438,0.0243
0.0443,0.0241
0.0448,0.024
0.0453,0.0239
0.0458,0.024
0.0463,0.024
0.0468,0.0242
0.0473,0.0244
0.0478,0.0247
0.0482,0.0251
0.0485,0.0256
0.0486,0.0261
0.0487,0.0266
0.0487,0.0271
0.0486,0.0276
0.0485,0.0281
0.0483,0.0286
0.048,0.029
0.0476,0.0294
0.0472,0.0298
0.0467,0.0302
0.0462,0.0305
0.0457,0.0308
0.0452,0.0311
0.0447,0.0313
0.0442,0.0316
0.0437,0.0319
0.0433,0.0322
0.0428,0.0325
0.0424,0.0329
0.0421,0.0333
0.0417,0.0338
0.0414,0.0343
0.0412,0.0348
0.0411,0.0353
