x,y
0.0699,0.0299
0.0697,0.0304
0.0696,0.0309
0.0695,0.0314
0.0694,0.0319
0.0695,0.0324
0.0695,0.0329
0.0696,0.0334
0.0698,0.0339
0.0701,0.0344
0.0704,0.0348
0.0708,0.0352
0.0713,0.0355
0.0718,0.0357
0.0723,0.0358
0.0728,0.0358
0.0733,0.0358
0.0738,0.0357
0.0743,0.0356
0.0748,0.0353
0.0753,0.0349
0.0757,0.0345
0.076,0.034
0.0762,0.0335
0.0763,0.033
0.0764,0.0325
0.0764,0.032
0.0763,0.0315
0.0762,0.031
0.076,0.0305
0.0757,0.03
0.0753,0.0296
0.0749,0.0293
0.0744,0.0291
0.0739,0.0289
0.0733,0.0289
0.0728,0.0289
0.0723,0.0289
0.0718,0.0291
0.0713,0.0293
0.0708,0.0296
0.0703,0.0297
