x,y
0.051,0.0285
0.0512,0.028
0.0514,0.0275
0.0516,0.027
0.0518,0.0265
0.0521,0.026
0.0524,0.0255
0.0528,0.0251
0.0532,0.0247
0.0536,0.0244
0.0541,0.0242
0.0546,0.024
0.0551,0.024
0.0557,0.024
0.0562,0.0241
0.0567,0.0243
0.0571,0.0247
0.0574,0.0251
0.0576,0.0256
0.0578,0.0261
0.0579,0.0266
0.0579,0.0271
0.0579,0.0276
0.0579,0.0281
0.0578,0.0286
0.0578,0.0291
0.0577,0.0296
0.0576,0.0301
0.0575,0.0306
0.0574,0.0311
0.0572,0.0316
0.0571,0.0321
0.0569,0.0326
0.0566,0.0331
0.0564,0.0336
0.0561,0.0341
0.0558,0.0345
0.0554,0.0349
0.0549,0.0353
0.0544,0.0355
0.0539,0.0357
0.0534,0.0358
0.0529,0.0358
0.0524,0.0358
0.0519,0.0356
0.0514,0.0354
0.051,0.035
0.0507,0.0345
0.0506,0.034
0.0505,0.0335
0.0504,0.033
0.0504,0.0325
0.0505,0.032
0.0505,0.0315
0.0506,0.031
0.0506,0.0305
0.0507,0.03
0.0508,0.0295
0.0509,0.029
0.051,0.0285
