x,y
0.0634,0.0357
0.0629,0.0348
0.0622,0.034
0.0613,0.0334
0.0603,0.0331
0.0593,0.0331
0.0583,0.0333
0.0574,0.0339
0.0566,0.0347
0.0561,0.0356
0.0556,0.0365
0.0553,0.0375
0.055,0.0385
0.0548,0.0395
0.0547,0.0405
0.0545,0.0415
0.0543,0.0425
0.0543,0.0436
0.0544,0.0446
0.0547,0.0456
0.0552,0.0465
0.056,0.0472
0.0569,0.0477
0.0579,0.048
0.0589,0.048
0.0599,0.0478
0.0609,0.0474
0.0618,0.0467
0.0625,0.0458
0.0628,0.0448
0.063,0.0438
0.063,0.0428
0.0628,0.0418
0.0623,0.0409
0.0616,0.0401
0.0607,0.0396
0.0597,0.0392
0.0587,0.0392
0.0577,0.0393
0.0567,0.0396
0.0558,0.0402
0.0548,0.0406
