x,y
0.0327,0.0287
0.0332,0.029
0.0336,0.0294
0.0339,0.0298
0.034,0.0303
0.0341,0.0308
0.0342,0.0313
0.0342,0.0318
0.0341,0.0323
0.034,0.0328
0.0339,0.0333
0.0337,0.0338
0.0334,0.0343
0.0331,0.0347
0.0327,0.0351
0.0322,0.0354
0.0317,0.0356
0.0312,0.0357
0.0306,0.0357
0.0301,0.0356
0.0296,0.0354
0.0291,0.0351
0.0287,0.0347
0.0285,0.0342
0.0283,0.0337
0.0283,0.0332
0.0283,0.0327
0.0283,0.0322
0.0284,0.0317
0.0285,0.0312
0.0287,0.0307
0.0289,0.0302
0.0292,0.0297
0.0296,0.0293
0.0301,0.0289
0.0306,0.0287
0.0311,0.0285
0.0316,0.0285
0.0321,0.0286
0.0326,0.0287
