x,y
0.0184,0.0371
0.0188,0.0361
0.0192,0.0351
0.0198,0.0343
0.0206,0.0336
0.0216,0.0331
0.0226,0.033
0.0236,0.033
0.0246,0.0332
0.0256,0.0336
0.0264,0.0343
0.027,0.0352
0.0271,0.0362
0.0272,0.0372
0.0269,0.0382
0.0264,0.0392
0.0257,0.04
0.0249,0.0407
0.024,0.0412
0.0231,0.0417
0.0222,0.0422
0.0213,0.0427
0.0204,0.0433
0.0196,0.044
0.0188,0.0448
0.0182,0.0456
0.0178,0.0466
0.0177,0.0476
0.0187,0.0476
0.0198,0.0476
0.0209,0.0476
0.0219,0.0476
0.0229,0.0476
0.0239,0.0476
0.025,0.0476
0.0261,0.0476
