x,y
0.0041,0.0258
0.0044,0.0254
0.0048,0.0249
0.0052,0.0245
0.0057,0.0242
0.0063,0.0242
0.0067,0.0246
0.0067,0.0251
0.0066,0.0256
0.0065,0.0261
0.0063,0.0266
0.0062,0.0271
0.006,0.0276
0.0059,0.0281
0.0057,0.0286
0.0056,0.0291
0.0054,0.0296
0.0053,0.0301
0.0051,0.0306
0.005,0.0311
0.0049,0.0316
0.0048,0.0321
0.0047,0.0326
0.0046,0.0331
0.0045,0.0336
0.0045,0.0341
0.0046,0.0346
0.0046,0.0351
0.005,0.0355
0.0055,0.0357
0.006,0.0356
0.0065,0.0355
0.007,0.0352
0.0075,0.0349
0.0079,0.0346
0.0083,0.0343
0.0088,0.034
0.0093,0.0339
